ID	100UNCULTURED_S7_PE_profile_class	14UNCULTURED_S8_PE_profile_class	18UNCULTURED_S12_PE_profile_class	19UNCULTURED_S14_PE_profile_class	24UNCULTURED_S3_PE_profile_class	26UNCULTURED_S4_PE_profile_class	28UNCULTURED_S6_PE_profile_class	2UNCULTURED_S1_PE_profile_class	300UNCULTURED_S9_PE_profile_class	36UNCULTURED_S10_PE_profile_class	400UNCULTURED_S11_PE_profile_class	40UNCULTURED_S15_PE_profile_class	4UNCULTURED_S2_PE_profile_class	500UNCULTURED_S13_PE_profile_class	8UNCULTURED_S5_PE_profile_class	lucaAR31_S16_PE_profile_class	lucaAR32_S17_PE_profile_class	lucaAR33_S18_PE_profile_class	lucaAR34_S19_PE_profile_class
#SampleID	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis
c__Actinobacteria	30.43716	0.04915	0.37861	0.20591	0.18542	0.15702	0.5258	0.17532	34.95446	0.88706	29.52628	0.29386	0.33096	16.50415	0.62983	1.37443	2.95707	9.77331	2.07737
c__Bacilli	0.0	0.0	0.0	0.0	0.16192	0.00295	0.0	0.0	0.04527	2.85224	0.0	0.03442	0.0	0.00199	0.0	0.00656	0.02198	0.0	0.02923
c__Bacteroidia	11.85609	1.37755	3.75385	13.67788	9.8056	25.73551	8.25986	12.52003	6.16289	3.05048	18.30381	9.4479	15.79006	29.17665	9.47462	59.10332	44.05631	39.19663	59.94176
c__Betaproteobacteria	3.61647	0.0	0.15005	0.0	0.15592	0.03509	0.0	0.07349	2.66824	0.1686	4.58904	0.0	0.305	1.58336	0.05488	0.36027	1.27061	0.74542	1.18751
c__Clostridia	25.02492	65.69663	58.21942	61.00679	58.02586	45.22027	63.01289	54.80936	29.28303	61.4119	23.0831	26.97943	40.05851	27.1686	53.58066	37.1335	44.38898	48.00163	34.57833
c__Deltaproteobacteria	1.77583	0.11578	0.08435	0.18404	0.0	0.05571	1.73573	0.41894	0.0	0.16195	1.15347	1.77823	1.35716	0.08825	3.10444	0.31912	0.12261	0.1812	0.58415
c__Epsilonproteobacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.76606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25026	0.0	0.0	0.0	0.0
c__Erysipelotrichia	0.01612	0.49964	7.53263	1.59059	0.70175	1.23208	2.86002	1.56275	0.1148	4.07731	0.00291	4.26154	1.8602	0.08858	4.87307	0.14177	0.03956	0.05937	0.10231
c__Gammaproteobacteria	0.0562	0.07163	5.47339	0.06394	0.38462	0.0	1.0574	0.09655	0.0	4.29807	0.07867	0.2842	0.72531	0.0	0.77002	0.0	0.21638	0.0	0.00627
c__Methanobacteria	7.88409	9.98119	12.00965	8.48471	7.62852	21.61367	0.29402	6.58951	7.68603	16.79133	7.43591	15.90007	35.86596	6.44407	0.37156	0.0	0.0	0.49943	0.0
c__Negativicutes	18.71449	21.41346	12.372	11.36768	21.25746	3.42606	21.48821	19.59826	18.92566	6.30106	15.1151	27.12863	2.94904	18.87237	26.89065	0.0	6.8238	0.0	1.40713
c__Sordariomycetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09253	0.10269	0.0942	0.08481
c__Spirochaetia	0.30784	0.79499	0.00182	3.41844	1.45399	2.52164	0.0	3.97901	0.02858	0.0	0.32129	13.85424	0.75782	0.04949	0.0	0.0	0.0	0.0	0.0
c__Synergistia	0.0	0.0	0.0	0.0	0.23895	0.0	0.0	0.0	0.0	0.0	0.0	0.03749	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c__Verrucomicrobiae	0.31078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13104	0.0	0.39042	0.0	0.0	0.02247	0.0	1.4685	0.0	1.44881	0.0
c__Viruses_noname	0.0	0.0	0.02423	0.0	0.0	0.0	0.0	0.17677	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00112
c__unclassified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
