ID	100UNCULTURED_S7_PE_profile_family	14UNCULTURED_S8_PE_profile_family	18UNCULTURED_S12_PE_profile_family	19UNCULTURED_S14_PE_profile_family	24UNCULTURED_S3_PE_profile_family	26UNCULTURED_S4_PE_profile_family	28UNCULTURED_S6_PE_profile_family	2UNCULTURED_S1_PE_profile_family	300UNCULTURED_S9_PE_profile_family	36UNCULTURED_S10_PE_profile_family	400UNCULTURED_S11_PE_profile_family	40UNCULTURED_S15_PE_profile_family	4UNCULTURED_S2_PE_profile_family	500UNCULTURED_S13_PE_profile_family	8UNCULTURED_S5_PE_profile_family	lucaAR31_S16_PE_profile_family	lucaAR32_S17_PE_profile_family	lucaAR33_S18_PE_profile_family	lucaAR34_S19_PE_profile_family
#SampleID	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis
f__Acidaminococcaceae	18.62708	20.87429	12.372	11.16879	20.70025	2.92108	21.48821	19.50745	18.92566	6.30106	15.1151	26.94564	2.94904	18.82479	26.89065	0.0	0.0	0.0	0.0
f__Bacteroidaceae	0.05943	0.01317	0.42954	0.33183	0.22122	0.60712	6.3823	0.35847	0.06423	0.32245	0.43288	0.13336	0.55596	0.18112	6.94725	44.62033	41.09828	25.67714	43.90423
f__Bacteroidales_noname	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15106	0.0	2.13898	0.0
f__Bifidobacteriaceae	29.01359	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.8949	0.0	28.405	0.0	0.0	15.94398	0.0	1.05408	2.2843	9.42435	0.94921
f__Brachyspiraceae	0.01291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02035	0.0	0.01174	0.0	0.0	0.02208	0.0	0.0	0.0	0.0	0.0
f__Burkholderiales_noname	0.99146	0.0	0.0	0.0	0.1413	0.0	0.0	0.0	0.73732	0.0	0.94012	0.0	0.0	0.51805	0.0	0.00553	0.03427	0.27266	0.72751
f__Chaetomiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02646	0.02716	0.0244	0.02118
f__Clostridiaceae	0.0	0.0	0.0134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.263	0.09746	0.19402	0.39439
f__Clostridiales_Family_XIII_Incertae_Sedis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01514	0.0	0.0	0.0	0.0	0.0
f__Clostridiales_noname	0.0	0.11809	1.28285	3.24577	0.0	3.77649	20.97897	0.06233	0.0	0.10284	0.0	0.38105	0.507	0.07619	1.68663	0.19903	0.03761	3.01308	0.01964
f__Coriobacteriaceae	1.42357	0.04915	0.37861	0.20591	0.18542	0.15702	0.5258	0.17532	0.98068	0.88706	1.12128	0.29386	0.33096	0.56017	0.62983	0.32035	0.67251	0.34896	1.12816
f__Desulfovibrionaceae	1.77583	0.11578	0.08435	0.18404	0.0	0.05571	1.73573	0.41894	0.0	0.16195	1.15347	1.77823	1.35716	0.08825	3.10444	0.31912	0.12261	0.1812	0.58415
f__Enterobacteriaceae	0.0562	0.07163	5.47339	0.06394	0.0	0.0	1.0574	0.0	0.0	4.29807	0.07867	0.0	0.72531	0.0	0.77002	0.0	0.0091	0.0	0.00627
f__Enterococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.83714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Erysipelotrichaceae	0.01612	0.49964	7.53263	1.59059	0.70175	1.23208	2.86002	1.56275	0.1148	4.07731	0.00291	4.26154	1.8602	0.08858	4.87307	0.14177	0.03956	0.05937	0.10231
f__Eubacteriaceae	1.21708	3.61835	11.4482	24.29472	9.10418	5.03648	10.88202	3.54031	1.46687	7.08082	1.2187	4.35732	2.91947	3.74027	16.15262	0.71732	21.23463	18.75285	15.97913
f__Helicobacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.76606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25026	0.0	0.0	0.0	0.0
f__Lachnospiraceae	3.36298	10.39926	5.13684	4.23142	6.92903	15.5645	4.52707	4.94025	2.83353	9.48363	2.54273	2.87486	3.15438	3.75237	6.79087	3.43467	7.89189	3.89107	4.04114
f__Lactobacillaceae	0.0	0.0	0.0	0.0	0.16192	0.0	0.0	0.0	0.04527	0.0151	0.0	0.03442	0.0	0.00199	0.0	0.0	0.0	0.0	0.0
f__Methanobacteriaceae	7.88409	9.98119	12.00965	8.48471	7.62852	21.61367	0.29402	6.58951	7.68603	16.79133	7.43591	15.90007	35.86596	6.44407	0.37156	0.0	0.0	0.49943	0.0
f__Nectriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06608	0.07553	0.06981	0.06363
f__Oscillospiraceae	0.08308	0.4631	0.64732	0.24433	0.57875	0.45974	0.11605	0.21569	0.06065	0.37776	0.10489	0.05369	0.14585	0.05305	0.30964	1.55499	1.15024	0.67917	1.24047
f__Oxalobacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1686	0.03956	0.0	0.0	0.0	0.0	0.0	0.0	0.02122	0.0
f__Pasteurellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20728	0.0	0.0
f__Peptostreptococcaceae	0.0	0.0	1.27439	0.0	3.27251	0.0	0.34892	0.0	0.11673	0.5378	0.0	0.02741	0.36806	0.09315	1.28227	0.0	0.11084	0.0	0.0
f__Porphyromonadaceae	2.13809	0.0	0.85892	0.1164	0.41736	0.34623	1.71392	0.44382	0.57163	0.46787	2.92091	0.21125	1.72175	0.64593	2.46793	8.26545	2.95803	2.13265	10.63533
f__Potyviridae	0.0	0.0	0.02423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f__Prevotellaceae	7.30146	1.36438	2.44675	13.22965	9.16702	24.78216	0.10957	11.71775	5.26447	2.12664	12.28896	9.10329	13.51235	27.84032	0.01682	0.0	0.0	0.0	0.0
