ID	100UNCULTURED_S7_PE_profile_genus	14UNCULTURED_S8_PE_profile_genus	18UNCULTURED_S12_PE_profile_genus	19UNCULTURED_S14_PE_profile_genus	24UNCULTURED_S3_PE_profile_genus	26UNCULTURED_S4_PE_profile_genus	28UNCULTURED_S6_PE_profile_genus	2UNCULTURED_S1_PE_profile_genus	300UNCULTURED_S9_PE_profile_genus	36UNCULTURED_S10_PE_profile_genus	400UNCULTURED_S11_PE_profile_genus	40UNCULTURED_S15_PE_profile_genus	4UNCULTURED_S2_PE_profile_genus	500UNCULTURED_S13_PE_profile_genus	8UNCULTURED_S5_PE_profile_genus	lucaAR31_S16_PE_profile_genus	lucaAR32_S17_PE_profile_genus	lucaAR33_S18_PE_profile_genus	lucaAR34_S19_PE_profile_genus
g__Acidaminococcus	0	0.07881	0	0	0	0.01821	0	0	0	0	0	0	0	0	0	0	0	0	0
g__Adlercreutzia	1.32468	0	0	0	0	0	0	0	0.65871	0	1.07703	0	0	0.25952	0	0.11948	0.0155	0.09739	0
g__Akkermansia	0.31078	0	0	0	0	0	0	0	0.13104	0	0.39042	0	0	0.02247	0	1.4685	0	1.44881	0
g__Alistipes	2.3571	0	0.01864	0	0	0	0.05407	0	0.26256	0.13352	2.66106	0	0	0.50928	0.04263	6.06648	0	9.24786	5.4022
g__Anaerostipes	0	0	0.01269	0	0	0	0	0	0	0	0	0	0	0	0	0.02172	0.03641	0	0.00192
g__Anaerotruncus	0	0	0	0.14558	0.20263	0.11696	0	0	0	0	0.25692	0	0.21773	0.04964	0	0.00977	0.01668	0.01953	0.0081
g__Bacteroidales_noname	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15106	0	2.13898	0
g__Bacteroides	0.05943	0.01317	0.42954	0.33183	0.22122	0.60712	6.3823	0.35847	0.06423	0.32245	0.43288	0.13336	0.55596	0.18112	6.94725	44.62033	41.09828	25.67714	43.90423
g__Barnesiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.08831	0	0.52059	4.01715
g__Bifidobacterium	29.01359	0	0	0	0	0	0	0	33.8949	0	28.405	0	0	15.94398	0	1.05408	2.2843	9.42435	0.94921
g__Bilophila	0	0	0.08435	0	0	0	0	0	0	0	0	0.0205	0.87588	0	0	0.31912	0.12261	0.03335	0.58415
g__Blautia	1.15664	0.01683	1.31516	0.91668	0.61489	0.83721	0.48457	1.59522	0.80575	2.4597	0.56279	1.27191	0.68302	1.80091	0.66666	2.02582	0.08781	0.42787	1.45996
g__Brachyspira	0.01291	0	0	0	0	0	0	0	0.02035	0	0.01174	0	0	0.02208	0	0	0	0	0
g__Burkholderiales_noname	0.99146	0	0	0	0.1413	0	0	0	0.73732	0	0.94012	0	0	0.51805	0	0.00553	0.03427	0.27266	0.72751
g__Butyrivibrio	0.2298	9.18365	0.12054	0	3.40699	12.52327	0.3304	0	0.31485	0.08771	0.63686	0	0	0	0.19368	0	0	0	0
g__C2likevirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00112
g__Catenibacterium	0	0.18618	1.18925	0	0	0	0.40808	0	0	0.14971	0	3.23109	0	0	0.18967	0	0	0	0
g__Chaetomiaceae_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02646	0.02716	0.0244	0.02118
g__Clostridiaceae_noname	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00491	0.00587	0	0.04593
g__Clostridiales_Family_XIII_Incertae_Sedis_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01514	0	0	0	0	0
g__Clostridiales_noname	0	0.11809	1.28285	3.24577	0	3.77649	20.97897	0.06233	0	0.10284	0	0.38105	0.507	0.07619	1.68663	0.02914	0	3.01308	0.00291
g__Clostridium	0	0	0.0134	0	0	0	0	0	0	0	0	0	0	0	0	0.25809	0.09159	0.19402	0.34846
g__Collinsella	0.04738	0.04915	0.34456	0.14744	0.17416	0.15702	0.5258	0.15295	0.11217	0.88706	0	0.13948	0.33096	0.11056	0.62983	0.12674	0.59451	0.0732	0
g__Coprobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02809	0	0	0.00931
g__Coprobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18772	0	0.01207	0
g__Coprococcus	0.25615	0.07186	1.35139	0.22471	0.13036	0.64067	0.72495	0.86432	0.55794	3.30204	0.07648	0.49623	0.85197	0.22938	1.26045	0	3.41	0.9633	0
