ID	100UNCULTURED_S7_PE_profile_order	14UNCULTURED_S8_PE_profile_order	18UNCULTURED_S12_PE_profile_order	19UNCULTURED_S14_PE_profile_order	24UNCULTURED_S3_PE_profile_order	26UNCULTURED_S4_PE_profile_order	28UNCULTURED_S6_PE_profile_order	2UNCULTURED_S1_PE_profile_order	300UNCULTURED_S9_PE_profile_order	36UNCULTURED_S10_PE_profile_order	400UNCULTURED_S11_PE_profile_order	40UNCULTURED_S15_PE_profile_order	4UNCULTURED_S2_PE_profile_order	500UNCULTURED_S13_PE_profile_order	8UNCULTURED_S5_PE_profile_order	lucaAR31_S16_PE_profile_order	lucaAR32_S17_PE_profile_order	lucaAR33_S18_PE_profile_order	lucaAR34_S19_PE_profile_order
#SampleID	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis
o__Actinomycetales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00026	0.0	0.0
o__Aeromonadales	0.0	0.0	0.0	0.0	0.38462	0.0	0.0	0.09655	0.0	0.0	0.0	0.2842	0.0	0.0	0.0	0.0	0.0	0.0	0.0
o__Bacteroidales	11.85609	1.37755	3.75385	13.67788	9.8056	25.73551	8.25986	12.52003	6.16289	3.05048	18.30381	9.4479	15.79006	29.17665	9.47462	59.10332	44.05631	39.19663	59.94176
o__Bifidobacteriales	29.01359	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.8949	0.0	28.405	0.0	0.0	15.94398	0.0	1.05408	2.2843	9.42435	0.94921
o__Burkholderiales	3.61647	0.0	0.15005	0.0	0.15592	0.03509	0.0	0.07349	2.66824	0.1686	4.58904	0.0	0.305	1.58336	0.05488	0.36027	1.27061	0.74542	1.18751
o__Campylobacterales	0.0	0.0	0.0	0.0	0.0	0.0	0.76606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25026	0.0	0.0	0.0	0.0
o__Caudovirales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00112
o__Clostridiales	25.02492	65.69663	58.21942	61.00679	58.02586	45.22027	63.01289	54.80936	29.28303	61.4119	23.0831	26.97943	40.05851	27.1686	53.58066	37.1335	44.38898	48.00163	34.57833
o__Coriobacteriales	1.42357	0.04915	0.37861	0.20591	0.18542	0.15702	0.5258	0.17532	0.98068	0.88706	1.12128	0.29386	0.33096	0.56017	0.62983	0.32035	0.67251	0.34896	1.12816
