ID	100UNCULTURED_S7_PE_profile_species	14UNCULTURED_S8_PE_profile_species	18UNCULTURED_S12_PE_profile_species	19UNCULTURED_S14_PE_profile_species	24UNCULTURED_S3_PE_profile_species	26UNCULTURED_S4_PE_profile_species	28UNCULTURED_S6_PE_profile_species	2UNCULTURED_S1_PE_profile_species	300UNCULTURED_S9_PE_profile_species	36UNCULTURED_S10_PE_profile_species	400UNCULTURED_S11_PE_profile_species	40UNCULTURED_S15_PE_profile_species	4UNCULTURED_S2_PE_profile_species	500UNCULTURED_S13_PE_profile_species	8UNCULTURED_S5_PE_profile_species	lucaAR31_S16_PE_profile_species	lucaAR32_S17_PE_profile_species	lucaAR33_S18_PE_profile_species	lucaAR34_S19_PE_profile_species
#SampleID	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis	Metaphlan2_Analysis
s__Acidaminococcus_intestini	0.0	0.07881	0.0	0.0	0.0	0.01821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Adlercreutzia_equolifaciens	1.32468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.65871	0.0	1.07703	0.0	0.0	0.25952	0.0	0.11948	0.0155	0.09739	0.0
s__Akkermansia_muciniphila	0.31078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13104	0.0	0.39042	0.0	0.0	0.02247	0.0	1.4685	0.0	1.44881	0.0
s__Alistipes_finegoldii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11589	0.0	0.96419	0.28901
s__Alistipes_indistinctus	2.3571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26256	0.0	2.66106	0.0	0.0	0.50343	0.0	0.01096	0.0	0.50559	0.0
s__Alistipes_onderdonkii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01325	0.0	1.18678	0.91733
s__Alistipes_putredinis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.86672	0.0	4.15551	4.19587
s__Alistipes_senegalensis	0.0	0.0	0.0	0.0	0.0	0.0	0.00152	0.0	0.0	0.0031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03844	0.0
s__Alistipes_shahii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00584	0.0	1.05966	0.0	1.79647	0.0
s__Alistipes_sp_AP11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.60088	0.0
s__Alistipes_unclassified	0.0	0.0	0.01864	0.0	0.0	0.0	0.05255	0.0	0.0	0.13041	0.0	0.0	0.0	0.0	0.04263	0.0	0.0	0.0	0.0
s__Anaerostipes_hadrus	0.0	0.0	0.01269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02172	0.03641	0.0	0.00192
s__Anaerotruncus_colihominis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00411	0.00141	0.0	0.00652
s__Anaerotruncus_unclassified	0.0	0.0	0.0	0.14558	0.20263	0.11696	0.0	0.0	0.0	0.0	0.25692	0.0	0.21773	0.04964	0.0	0.00567	0.01526	0.01953	0.00158
s__Bacteroidales_bacterium_ph8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15106	0.0	2.13898	0.0
s__Bacteroides_caccae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.98175	2.43614	1.28983	2.61817
s__Bacteroides_cellulosilyticus	0.0	0.0	0.0	0.0	0.0	0.0	0.08357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1737	0.22052	0.0	5.71252	2.54364
s__Bacteroides_clarus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00838	0.0	0.0	0.0
s__Bacteroides_coprocola	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15029	0.0	0.0	0.0
s__Bacteroides_dorei	0.0	0.0	0.02736	0.0	0.0	0.0	4.4354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.71494	0.17522	0.04497	6.54063	0.0
s__Bacteroides_faecis	0.0	0.0	0.0	0.0	0.0	0.00319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00445	0.0	0.0	0.0	0.0
s__Bacteroides_finegoldii	0.0	0.0	0.0	0.0	0.0	0.0	0.73285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.73832	1.25154	0.0	0.0	0.0
s__Bacteroides_fragilis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38864	0.25114	2.73084	0.40737
s__Bacteroides_intestinalis	0.0	0.0	0.0	0.0	0.0	0.0	0.24045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72292	0.0	0.0	2.75983	0.0
s__Bacteroides_nordii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02797	0.0	0.0
s__Bacteroides_ovatus	0.01171	0.0	0.0	0.0314	0.0	0.00234	0.19965	0.00253	0.06423	0.0	0.02244	0.0	0.02532	0.06845	0.21694	1.13057	0.77918	2.17616	8.5262
s__Bacteroides_pectinophilus	0.0	0.11809	1.28285	3.24577	0.0	3.77649	20.97897	0.06233	0.0	0.10284	0.0	0.38105	0.507	0.07619	1.68663	0.0	0.0	3.00767	0.0
s__Bacteroides_stercoris	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.75336	26.53334	0.0	4.06557
s__Bacteroides_thetaiotaomicron	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.86312	0.0	3.83866	0.26856
s__Bacteroides_uniformis	0.02583	0.01317	0.26173	0.22067	0.22122	0.43305	0.0419	0.34935	0.0	0.26171	0.37973	0.08848	0.53064	0.0	0.01927	11.41376	7.06278	0.55701	11.20855
