	100UNCULTURED_S7_PE_Abundance	14UNCULTURED_S8_PE_Abundance	18UNCULTURED_S12_PE_Abundance	19UNCULTURED_S14_PE_Abundance	24UNCULTURED_S3_PE_Abundance	26UNCULTURED_S4_PE_Abundance	28UNCULTURED_S6_PE_Abundance	2UNCULTURED_S1_PE_Abundance	300UNCULTURED_S9_PE_Abundance	36UNCULTURED_S10_PE_Abundance	400UNCULTURED_S11_PE_Abundance	40UNCULTURED_S15_PE_Abundance	4UNCULTURED_S2_PE_Abundance	500UNCULTURED_S13_PE_Abundance	8UNCULTURED_S5_PE_Abundance	lucaAR31_S16_PE_Abundance	lucaAR32_S17_PE_Abundance	lucaAR33_S18_PE_Abundance	lucaAR34_S19_PE_Abundance
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	245.685875	0	691.8696227	109.8214039	244.2892902	277.7103084	832.1887473	189.0911358	325.5895154	322.4443523	381.5763199	249.716764	186.0138208	514.1345967	763.3417693	7188.098511	10482.12345	4458.003857	9149.575998
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Akkermansia.s__Akkermansia_muciniphila	0	0	0	0	0	0	0	0	0	0	2.623872729	0	0	0	0	95.03481378	0	54.80564211	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_caccae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127.7063923	206.9675246	38.14643134	205.5108577
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_cellulosilyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.658022199	0	359.9312396	303.1456914
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_finegoldii	0	0	0	0	0	0	10.35910218	0	0	0	0	0	0	0	0	109.6604771	0	0	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_fragilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.51032288	16.38362576	117.0038308	43.90928104
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_intestinalis	0	0	0	0	0	0	14.50776978	0	0	0	0	0	0	0	11.38700126	0	0	386.8454234	0
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158.8913278	0	110.0637554	870.7533691
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_stercoris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2449.513241	2978.832026	0	337.3159869
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61.27845961	0	210.41886	86.57888182
